Folder name,Folder color,Latitude,Longitude,Title,Description,Color,Phone number,Timestamp,Pin icon code
,71b300,50.8131383286909,4.381027448969662,Marker 54,,71b300,,2024-02-13T09:12:47Z,-1
,71b300,50.81364246858509,4.380241863703063,Marker 55,,71b300,,2024-02-13T09:20:52Z,-1
,71b300,50.81302309666702,4.381677631195081,Marker 56,,71b300,,2024-02-13T09:24:14Z,-1
,71b300,50.813118681113984,4.382047718393368,Marker 57,,71b300,,2024-02-13T09:24:18Z,-1
,71b300,50.81328936713992,4.382604199873983,Marker 58,,71b300,,2024-02-13T09:24:21Z,-1
,71b300,50.81273634215596,4.382993196637144,Marker 59,,71b300,,2024-02-13T09:24:24Z,-1
,71b300,50.812948741614306,4.38214777175964,Marker 60,,f44336,,2024-02-13T09:24:29Z,-1
,71b300,50.81325768398772,4.381964078843722,Marker 61,,f44336,,2024-02-13T09:24:32Z,-1
,71b300,50.813117721398584,4.381604797111037,Marker 62,,f44336,,2024-02-13T09:24:36Z,-1
,71b300,50.8134386106179,4.38253136579006,Marker 63,,f44336,,2024-02-13T09:24:55Z,-1
,71b300,50.8130639717612,4.382768119410048,Marker 64,,71b300,,2024-02-13T09:25:10Z,-1
,71b300,50.81283551002798,4.382927124639152,Marker 65,,71b300,,2024-02-13T09:25:14Z,-1
,71b300,50.81307911075463,4.382798613563731,Marker 66,,f44336,,2024-02-13T09:25:18Z,-1
,71b300,50.81284376770261,4.382970687715818,Marker 67,,f44336,,2024-02-13T09:25:26Z,-1
,71b300,50.81282207485159,4.381290502627958,Marker 68,,f44336,,2024-02-13T09:25:43Z,-1
,71b300,50.81285702128956,4.3814025005697985,Marker 69,,71b300,,2024-02-13T09:25:52Z,-1
,71b300,50.81286166719743,4.381891614468501,Marker 70,,f44336,,2024-02-13T09:26:00Z,-1
,71b300,50.812620373006624,4.380824752095776,Marker 71,,71b300,,2024-02-13T09:26:56Z,-1
,71b300,50.81256645790712,4.380200976845003,Marker 72,,71b300,,2024-02-13T09:27:00Z,-1
,71b300,50.81230152935311,4.380412825043427,Marker 73,,71b300,,2024-02-13T09:27:03Z,-1
,71b300,50.81267149934321,4.380571711192305,Marker 74,,71b300,,2024-02-13T09:27:09Z,-1
,71b300,50.812921509186495,4.381101309831129,Marker 75,,71b300,,2024-02-13T09:27:49Z,-1
,71b300,50.813767273205656,4.381597496769905,Marker 76,,71b300,,2024-02-13T09:40:01Z,-1
,71b300,50.813679572919334,4.38167428008713,Marker 77,,71b300,,2024-02-13T09:40:06Z,-1
,71b300,50.813606800216064,4.381733344176909,Marker 78,,71b300,,2024-02-13T09:40:09Z,-1
,71b300,50.813530295457205,4.38180126788025,Marker 79,,71b300,,2024-02-13T09:40:14Z,-1
,71b300,50.81345845550803,4.381849995754346,Marker 80,,f44336,,2024-02-13T09:40:17Z,-1
,71b300,50.81373555185003,4.382465738892024,Marker 81,,71b300,,2024-02-13T09:40:27Z,-1
,71b300,50.813829782892334,4.381984366559069,Marker 82,,71b300,,2024-02-13T09:40:32Z,-1
,71b300,50.814324775692064,4.381185735726803,Marker 83,,71b300,,2024-02-13T09:44:20Z,-1
,71b300,50.81445027400976,4.38160203245837,Marker 84,,71b300,,2024-02-13T09:44:26Z,-1
,71b300,50.81418208542155,4.3818741218254065,Marker 85,,71b300,,2024-02-13T09:44:30Z,-1
,71b300,50.81421646866048,4.38196935310387,Marker 86,,71b300,,2024-02-13T09:44:33Z,-1
,71b300,50.8142301660144,4.382027868837449,Marker 87,,f44336,,2024-02-13T09:44:36Z,-1
,71b300,50.81399868952298,4.381413976420908,Marker 88,,71b300,,2024-02-13T09:44:51Z,-1
,71b300,50.81408414298386,4.3787822784781,Marker 89,,71b300,,2024-02-13T09:54:22Z,-1
,71b300,50.81432260043003,4.379147507491532,Marker 90,,71b300,,2024-02-13T09:54:26Z,-1
,71b300,50.81468720720355,4.379727004192838,Marker 91,,71b300,,2024-02-13T09:54:30Z,-1
,71b300,50.8148041269163,4.380019187403583,Marker 92,,71b300,,2024-02-13T09:54:33Z,-1
,71b300,50.814651823549866,4.380369807256495,Marker 93,,f44336,,2024-02-13T09:54:36Z,-1
,71b300,50.81505488794632,4.380411199878026,Marker 94,,71b300,,2024-02-13T09:54:44Z,-1
,71b300,50.81503642705777,4.380737471130002,Marker 95,,71b300,,2024-02-13T09:54:48Z,-1
,71b300,50.814985659577715,4.381377839333545,Marker 96,,71b300,,2024-02-13T09:54:54Z,-1
,71b300,50.814821049486454,4.381334011851941,Marker 97,,71b300,,2024-02-13T09:54:57Z,-1
,71b300,50.81346768434612,4.383142936588303,Marker 98,,71b300,,2024-02-13T11:03:59Z,-1
,71b300,50.81247298722735,4.382152626955085,Marker 99,,71b300,,2024-02-13T11:04:44Z,-1
,71b300,50.81267529865745,4.382839764142795,Marker 100,,71b300,,2024-02-13T11:04:47Z,-1
,71b300,50.81200471247176,4.383350620062641,Marker 101,,71b300,,2024-02-13T11:04:51Z,-1
,71b300,50.811779666137106,4.382640098625155,Marker 102,,71b300,,2024-02-13T11:04:54Z,-1
,71b300,50.81177852953673,4.382546561625729,Marker 103,,f44336,,2024-02-13T11:04:57Z,-1
,71b300,50.81184445231539,4.382972874488461,Marker 104,,f44336,,2024-02-13T11:05:07Z,-1
,71b300,50.81213883048301,4.382271346993325,Marker 105,,f44336,,2024-02-13T11:05:15Z,-1
,71b300,50.81229567986882,4.3821472305904505,Marker 106,,f44336,,2024-02-13T11:05:21Z,-1
,71b300,50.812419567779614,4.382060888744856,Marker 107,,f44336,,2024-02-13T11:05:27Z,-1
,71b300,50.81259346493467,4.382422445223294,Marker 108,,f44336,,2024-02-13T11:05:34Z,-1
,71b300,50.812198511183105,4.382710807635202,Marker 109,,71b300,,2024-02-13T11:05:42Z,-1
,71b300,50.81290261009272,4.383542600739677,Marker 110,,71b300,,2024-02-13T11:05:51Z,-1
,71b300,50.81322339671999,4.383310146174999,Marker 111,,71b300,,2024-02-13T11:05:56Z,-1
,71b300,50.81319546314091,4.383224580076993,Marker 112,,f44336,,2024-02-13T11:05:59Z,-1
,71b300,50.81325223136543,4.383390007864222,Marker 113,,f44336,,2024-02-13T11:06:05Z,-1
,71b300,50.81232371992806,4.381823334841548,Marker 114,,71b300,,2024-02-13T11:17:08Z,-1
,71b300,50.81234451730989,4.381877408518924,Marker 115,,f44336,,2024-02-13T11:17:12Z,-1
,71b300,50.811726534018334,4.382279434555065,Marker 116,,71b300,,2024-02-13T11:17:20Z,-1
,71b300,50.81173990393591,4.382342912350246,Marker 117,,f44336,,2024-02-13T11:17:22Z,-1
,71b300,50.81245456274078,4.380954416603108,Marker 118,,71b300,,2024-02-13T11:20:20Z,-1
,71b300,50.81210496199031,4.380475147930518,Marker 119,,71b300,,2024-02-13T11:23:24Z,-1
,71b300,50.81211834770244,4.380514868743038,Marker 120,,f44336,,2024-02-13T11:23:27Z,-1
,71b300,50.81193647620137,4.379920469240219,Marker 121,,71b300,,2024-02-13T11:23:37Z,-1
,71b300,50.811700793438675,4.380286860417137,Marker 122,,71b300,,2024-02-13T11:23:43Z,-1
,71b300,50.811802992305246,4.380593836808605,Marker 123,,71b300,,2024-02-13T11:23:46Z,-1
,71b300,50.811504737845674,4.380933821414233,Marker 124,,71b300,,2024-02-13T11:23:49Z,-1
,71b300,50.81164662524371,4.38084479397741,Marker 125,,71b300,,2024-02-13T11:23:52Z,-1
,71b300,50.81169733543795,4.380986910393006,Marker 126,,f44336,,2024-02-13T11:23:55Z,-1
,71b300,50.81212579107644,4.381189234214622,Marker 127,,71b300,,2024-02-13T11:24:02Z,-1
,71b300,50.81206328636542,4.380966791734827,Marker 128,,f44336,,2024-02-13T11:24:05Z,-1
,71b300,50.81218879077611,4.381390431546697,Marker 129,,71b300,,2024-02-13T11:24:17Z,-1
,71b300,50.81221670782685,4.381390431546738,Marker 130,,f44336,,2024-02-13T11:24:19Z,-1
,71b300,50.81187987186695,4.38158900522184,Marker 131,,71b300,,2024-02-13T11:24:28Z,-1
,71b300,50.811856219914674,4.381514141726278,Marker 132,,f44336,,2024-02-13T11:24:30Z,-1
,71b300,50.81158320461075,4.381819610592679,Marker 133,,71b300,,2024-02-13T11:24:43Z,-1
,71b300,50.81153501254121,4.381683036574945,Marker 134,,f44336,,2024-02-13T11:24:46Z,-1
,71b300,50.8138588801703,4.382841540672958,Marker 135,,71b300,,2024-02-13T13:07:23Z,-1
,71b300,50.8139150750226,4.382421541428335,Marker 136,,f44336,,2024-02-13T13:08:05Z,-1
,71b300,50.814882914677895,4.381432329181738,Marker 137,,f44336,,2024-02-13T13:11:47Z,-1
,71b300,50.81501714763255,4.381851785781073,Marker 138,,f44336,,2024-02-13T13:11:50Z,-1
,71b300,50.81508770582588,4.3819389455938405,Marker 139,,71b300,,2024-02-13T13:11:53Z,-1
,71b300,50.81457830769926,4.382317546030841,Marker 140,,71b300,,2024-02-13T13:11:57Z,-1
,71b300,50.81450509797528,4.3821238981517086,Marker 141,,f44336,,2024-02-13T13:12:08Z,-1
,71b300,50.81444523942774,4.382172422416595,Marker 142,,71b300,,2024-02-13T13:12:11Z,-1
,71b300,50.81480057409245,4.3810804482328,Marker 143,,f44336,,2024-02-13T13:23:19Z,-1
,71b300,50.813619349438895,4.383681926933378,Marker 144,,71b300,,2024-02-13T13:32:29Z,-1
,71b300,50.81398118704828,4.383407423737885,Marker 145,,71b300,,2024-02-13T13:32:33Z,-1
,71b300,50.81214818626627,4.382334270419036,Marker 146,,71b300,,2024-02-13T13:35:03Z,-1
,71b300,50.81221670184988,4.384038390217349,Marker 147,,71b300,,2024-02-13T13:39:25Z,-1
,71b300,50.811438681624374,4.3824819978791405,Marker 148,,71b300,,2024-02-13T13:55:44Z,-1
